id,gender,religion,educ,income,space_housing,own_housing,height,health,use_internet,fairness,opinion_homosex,manda_speak,educ_fath,educ_moth,food_exp,education_exp,health_exp,educ_parent,married,race,age,weight,party,happiness
8357,0,0,4,36000,80,1,177,5,5,4,3,4,3,3,6000,2000,7000,3,0,0,30,60,0,4
8358,0,1,4,35000,0,1,170,3,1,4,1,2,3,1,5475,2000,200,2,1,0,46,65,0,4
8360,1,1,6,20000,90,1,165,4,1,4,2,3,1,1,NA,NA,NA,1,1,0,66,65,1,4
8362,0,1,11,45000,90,0,165,5,5,4,3,5,5,1,NA,NA,NA,3,1,0,38,60,0,4
8363,0,1,4,50000,110,1,175,4,4,4,1,5,3,3,20000,30000,0,3,1,0,55,90,0,5
8364,1,1,3,6000,130,0,151,3,1,3,1,1,1,1,NA,NA,NA,1,1,0,65,47.5,0,4
8365,0,1,3,0,100,0,172,2,1,4,1,1,3,1,NA,NA,NA,2,1,0,65,85,0,4
8367,1,1,1,9000,0,0,159,4,1,4,1,1,1,1,20000,3000,2000,1,1,0,56,62.5,0,4
8369,1,1,1,10000,0,0,160,3,1,4,1,2,1,1,4000,0,4000,1,1,0,61,70,0,5
8370,1,1,6,24800,98,0,165,4,5,4,1,3,2,1,NA,NA,NA,1.5,0,0,58,32.5,0,4
8371,1,1,3,10320,65,0,165,4,1,3,1,2,2,1,NA,NA,NA,1.5,1,0,62,75,0,4
8372,1,1,9,80000,101,0,164,4,5,4,3,5,3,3,NA,NA,NA,3,1,0,39,52.5,0,4
8373,1,1,4,40000,65,0,162,4,5,3,1,3,4,4,NA,NA,NA,4,1,0,31,50,0,3
8374,1,1,6,60000,84,0,162,4,4,2,1,3,1,1,NA,NA,NA,1,1,0,67,31,0,5
8375,1,1,4,24000,90,1,158,4,1,3,1,2,1,1,NA,NA,NA,1,1,0,60,61.5,0,4
8376,1,1,4,2880,120,0,160,4,1,3,1,3,1,1,9000,0,700,1,1,0,61,75,0,4
8377,1,1,3,10000,200,0,160,3,5,4,1,3,4,1,NA,NA,NA,2.5,1,0,29,50,0,5
8378,0,1,6,34800,70,0,161,4,1,4,1,2,1,1,2000,0,1000,1,0,0,78,65,1,4
8379,0,1,4,40000,80,1,168,5,2,4,1,2,4,4,NA,NA,NA,4,1,0,50,60,0,5
8381,0,1,3,10000,220,1,170,3,1,4,1,1,1,1,NA,NA,NA,1,1,0,61,70,0,4
8382,1,1,12,50000,100,0,160,5,4,4,3,3,6,7,NA,NA,NA,6.5,1,0,32,48,0,4
8383,0,0,4,14400,74,1,172,4,3,2,2,3,4,3,10000,0,50,3.5,1,1,51,74,0,4
8384,0,1,5,100000,100,0,173,5,4,3,3,4,4,4,NA,NA,NA,4,0,0,19,65,0,4
8385,0,1,4,36000,90,1,170,4,3,4,2,4,1,1,NA,NA,NA,1,1,0,58,70,0,4
8386,0,1,1,20000,150,1,167,3,1,4,3,2,1,1,NA,NA,NA,1,1,0,59,75,0,4
8387,0,1,3,10000,70,0,170,3,1,1,1,1,5,5,10000,0,2000,5,1,0,65,70,0,5
8388,1,0,4,50000,68,0,160,4,5,2,1,5,4,1,NA,NA,NA,2.5,1,1,46,52,0,4
8390,1,1,12,100000,150,0,166,4,4,3,1,5,12,6,NA,NA,NA,9,1,0,39,60,1,4
8391,0,1,4,30000,150,1,168,4,2,1,1,3,4,4,20000,0,1500,4,1,0,48,60,0,4
8392,1,1,3,800,90,0,158,4,1,3,2,3,1,1,NA,NA,NA,1,1,0,60,59,0,5
8393,0,1,4,30000,200,0,172,5,5,1,1,2,4,4,NA,NA,NA,4,1,0,33,60,0,4
8394,1,1,6,0,0,0,163,5,4,3,1,5,4,4,NA,NA,NA,4,1,0,23,48,0,4
8395,0,1,6,10000,40,1,170,5,5,4,1,3,3,4,NA,NA,NA,3.5,1,0,48,60,0,4
8396,0,1,4,10000,81,1,168,5,1,3,1,2,3,1,NA,NA,NA,2,1,0,59,72.5,0,4
8397,1,1,1,14400,0,0,168,4,1,4,1,1,1,1,NA,NA,NA,1,1,0,84,48,0,5
8398,1,1,4,0,100,0,160,4,2,4,1,3,4,3,NA,NA,NA,3.5,1,0,37,49,0,4
8400,0,1,3,10000,0,0,170,5,1,4,4,2,3,5,NA,NA,NA,4,1,0,63,62.5,0,4
8401,0,1,4,50000,87,1,170,3,4,4,1,3,3,1,NA,NA,NA,2,1,0,64,82.5,0,4
8402,1,1,1,6000,70,0,150,1,1,4,1,2,5,5,NA,NA,NA,5,1,0,66,70,0,3
8403,1,1,4,0,80,1,168,5,1,3,3,2,1,1,NA,NA,NA,1,1,0,57,60,0,4
8404,1,1,4,20000,162,1,155,5,4,4,1,1,1,1,18000,2000,5000,1,1,0,41,60,0,4
8405,0,1,6,50000,60,1,165,5,2,3,1,2,3,3,NA,NA,NA,3,1,0,41,55,0,4
8407,0,1,6,8000,150,1,174,4,1,4,1,3,1,1,30000,10000,5000,1,1,0,61,65,0,4
8408,1,1,4,0,131,0,163,5,3,3,1,3,3,1,NA,NA,NA,2,1,0,26,54,0,3
8409,1,1,3,0,225,0,155,5,1,3,3,3,5,5,NA,NA,NA,5,1,0,57,52.5,0,5
8410,1,1,4,24000,45,1,160,4,5,3,1,3,5,3,15000,NA,8000,4,1,0,57,75,0,5
8412,0,1,3,20000,160,1,175,5,3,2,3,3,1,1,600,0,0,1,0,0,39,62.5,0,4
8413,0,1,3,30000,70,1,163,5,1,4,1,2,1,1,NA,NA,NA,1,1,0,57,58.5,0,5
8415,1,0,4,0,200,1,162,5,5,4,2,3,4,3,NA,NA,NA,3.5,1,1,28,51,0,4
8418,1,1,3,6000,52,0,153,3,1,4,1,3,1,1,2400,0,1000,1,1,0,70,70,0,4
8419,1,1,7,40000,63,0,160,4,4,4,1,5,4,3,NA,NA,NA,3.5,1,0,35,58,0,4
8421,1,1,4,0,75,0,155,4,4,3,3,3,3,1,NA,NA,NA,2,1,0,31,46,0,4
8422,0,1,6,50000,200,1,170,3,4,2,3,3,1,2,9999998,10000,2000,1.5,1,0,46,67,1,4
8423,1,0,6,40000,150,0,164,4,5,4,1,4,1,1,26000,0,0,1,1,0,65,65,1,4
8424,1,1,4,0,100,0,163,4,4,2,1,1,1,1,15000,80000,1000,1,1,0,39,65,0,4
8425,1,1,4,20000,100,1,155,4,3,2,1,3,3,3,NA,NA,NA,3,1,0,41,60,0,4
8426,1,1,4,20000,200,0,163,4,5,2,2,3,3,3,2000,0,200,3,1,0,38,58.5,0,3
8427,0,1,4,400000,80,1,172,2,5,1,1,3,1,1,NA,NA,NA,1,1,0,45,70,0,4
8428,1,1,1,10000,0,0,150,3,1,4,1,1,1,1,1000,0,1000,1,1,0,60,64,0,4
8429,1,1,3,1200,90,1,153,4,1,4,1,1,1,1,NA,NA,NA,1,0,0,69,45,0,5
8430,1,1,1,2500,100,0,155,4,1,2,3,2,1,1,NA,NA,NA,1,1,0,60,65,0,4
8431,0,1,4,20000,75,1,178,4,5,4,1,3,4,1,NA,NA,NA,2.5,1,0,36,90,0,4
8432,0,1,4,5500,81,1,170,2,1,4,1,2,1,1,NA,NA,NA,1,1,0,48,60,0,4
8433,1,1,1,3000,100,0,150,2,1,2,3,2,1,1,NA,NA,NA,1,1,0,65,62.5,0,4
8434,1,1,10,20000,120,1,172,5,5,4,1,4,4,4,20000,8000,1000,4,0,0,21,55,0,5
8435,1,0,1,30000,100,1,160,3,1,3,1,2,5,1,NA,NA,NA,3,1,1,59,50,0,4
8436,1,1,1,0,130,1,150,3,1,4,1,1,1,1,NA,NA,NA,1,1,0,65,55,0,5
8437,1,1,7,20000,72,0,162,5,5,1,3,4,4,6,NA,NA,NA,5,0,0,19,51,0,4
8438,0,1,12,100000,54,0,183,5,5,3,2,5,11,7,NA,NA,NA,9,0,0,24,90,0,4
8439,1,1,4,80000,138,1,167,4,4,2,1,3,5,3,36500,30000,5000,4,1,0,46,67.5,0,5
8440,1,1,4,0,117,1,163,5,5,2,3,3,4,3,20000,1000,3000,3.5,1,0,31,65,0,5
8441,0,1,4,36000,60,0,160,4,4,4,1,1,1,1,20000,0,100,1,1,0,52,55,0,4
8443,0,1,3,20000,45,1,160,2,1,4,1,2,1,1,7000,0,10000,1,1,0,72,51,0,4
8444,0,1,10,60000,90,1,171,4,3,4,1,5,6,12,15000,0,500,9,1,0,51,90,1,4
8445,1,1,4,10000,45,0,158,5,1,4,1,2,3,1,NA,NA,NA,2,1,0,52,68,0,5
8446,0,1,10,30000,97,1,170,4,4,2,1,3,3,3,5500,0,4500,3,1,0,39,75,0,4
8447,0,1,3,20000,84,1,167,5,3,4,1,2,3,1,NA,NA,NA,2,1,0,61,69,1,5
8448,0,1,10,100000,80,1,170,4,5,4,1,2,6,4,18000,0,500,5,1,0,56,75,1,4
8449,1,1,12,80000,130,0,165,4,4,4,4,5,7,4,30000,5000,2000,5.5,1,0,29,60,1,4
8450,1,1,1,0,260,0,162,2,1,5,1,2,1,1,9999999,9999999,9999999,1,0,0,64,64,0,5
8451,1,0,4,24000,120,1,165,5,2,3,1,5,1,1,NA,NA,NA,1,1,1,36,75,0,5
8452,1,1,6,0,96,0,170,4,4,4,2,4,4,4,NA,NA,NA,4,1,0,35,65,0,4
8453,1,1,11,30000,100,0,170,4,3,4,3,4,11,9,NA,NA,NA,10,1,0,32,65,0,5
8454,1,1,11,40000,85,0,162,5,4,4,3,5,10,6,9999998,0,800,8,0,0,26,46.5,0,5
8455,0,1,4,12000,15,0,168,4,1,4,3,1,3,3,NA,NA,NA,3,1,0,55,70,0,4
8456,1,1,3,0,120,1,158,2,1,4,1,2,2,1,NA,NA,NA,1.5,1,0,66,55,0,4
8457,1,1,12,0,107,0,162,4,4,2,2,4,9,6,NA,NA,NA,7.5,0,0,21,50,0,4
8458,1,0,1,0,100,1,160,4,1,5,1,1,1,1,NA,NA,NA,1,0,1,82,60,0,5
8459,0,1,4,80000,90,1,180,5,5,3,1,3,1,1,NA,NA,NA,1,1,0,33,80,0,5
8460,0,1,3,13000,45,0,179,4,1,4,1,2,1,1,NA,NA,NA,1,1,0,70,71,0,4
8461,1,1,3,0,150,0,160,4,3,4,3,1,12,3,NA,NA,NA,7.5,1,0,36,45,0,4
8462,1,1,1,0,60,0,157,2,1,3,1,1,1,1,NA,NA,NA,1,0,0,66,60,0,4
8463,0,1,4,20000,80,1,165,3,4,3,1,1,6,3,NA,NA,NA,4.5,0,0,34,55,0,4
8464,1,1,13,200000,160,1,163,4,4,3,5,5,12,7,NA,NA,NA,9.5,0,0,48,55,1,4
8466,1,1,4,0,116,0,162,5,1,3,1,2,1,1,NA,NA,NA,1,1,0,55,68,0,4
8467,0,1,3,25000,198,0,180,3,4,4,2,4,3,1,NA,NA,NA,2,1,0,33,70,0,4
8468,1,1,1,1200,90,0,160,2,1,4,1,2,1,1,NA,NA,NA,1,1,0,77,61,0,4
8469,0,1,4,20000,200,0,158,3,1,3,1,2,1,1,NA,NA,NA,1,1,0,49,60,1,4
8470,0,1,3,84000,70,1,170,2,1,5,1,3,5,5,NA,NA,NA,5,0,0,86,80,1,5
8471,0,1,1,0,0,0,175,3,1,3,1,2,1,1,NA,NA,NA,1,1,0,67,80,0,4
8472,0,1,5,70000,75,1,175,5,4,4,1,4,3,1,NA,NA,NA,2,0,0,40,60,0,4
8473,1,1,3,0,225,1,160,5,1,2,1,4,1,1,NA,NA,NA,1,0,0,64,70,0,2
8474,0,1,5,25600,135,1,175,3,4,2,1,3,1,1,24000,1000,1000,1,1,0,32,74,1,3
8475,1,1,4,0,120,1,160,5,4,5,1,4,6,3,9999998,4000,0,4.5,1,0,43,75,0,5
8476,0,1,4,20000,90,1,169,3,1,4,1,2,3,3,NA,NA,NA,3,1,0,48,90,0,5
8477,0,1,10,150000,125,1,175,5,5,3,1,5,6,6,NA,NA,NA,6,0,0,25,65,1,5
8478,1,1,1,1200,0,1,168,3,1,3,1,1,1,1,0,0,0,1,0,0,77,64,0,4
8479,0,1,7,36000,73,0,183,4,2,4,1,2,4,4,NA,NA,NA,4,1,0,50,75,0,5
8482,1,1,12,30000,69,0,160,4,5,4,3,3,10,1,NA,NA,NA,5.5,1,0,48,65,1,5
8483,1,1,3,20700,80,0,160,3,1,3,3,3,1,1,NA,NA,NA,1,1,0,36,65,0,3
8484,1,1,4,20000,80,0,163,4,4,4,2,4,5,1,NA,NA,NA,3,1,0,42,60,0,4
8485,0,1,7,12000,80,0,178,4,5,2,1,3,4,3,NA,NA,NA,3.5,1,0,34,85,1,4
8486,0,1,4,40000,98,1,176,4,4,4,3,4,1,1,8000,30000,1000,1,1,0,47,99,0,4
8487,1,1,13,55000,88,1,153,3,5,2,3,4,6,1,NA,NA,NA,3.5,1,0,31,51,1,2
8488,1,1,3,10000,255,1,150,4,1,4,1,2,1,1,NA,NA,NA,1,1,0,56,50,0,4
8489,1,1,1,0,60,0,140,3,1,2,1,1,1,1,NA,NA,NA,1,1,0,61,64,0,4
8490,1,1,1,7300,160,0,155,2,1,4,1,2,1,1,5000,0,50000,1,1,0,74,70,0,4
8491,1,1,4,0,70,0,160,4,1,4,1,2,3,1,15000,0,0,2,1,0,56,59,0,5
8494,1,1,6,60000,100,1,165,3,4,2,1,4,4,3,20000,0,10000,3.5,0,0,35,25,0,2
8495,1,1,3,2200,80,0,155,4,1,2,1,2,1,3,NA,NA,NA,2,1,0,77,50,0,4
8496,1,1,4,36000,121,1,163,5,5,4,1,3,4,3,8000,20000,2000,3.5,0,0,45,60,0,5
8497,1,1,6,5000,90,0,157,3,1,4,1,2,1,1,NA,NA,NA,1,1,0,67,60,0,4
8498,0,1,4,10000,342,1,170,3,1,4,1,3,5,5,NA,NA,NA,5,1,0,62,65,0,4
8499,0,1,4,50000,136,1,170,2,1,5,1,2,2,1,NA,NA,NA,1.5,1,0,73,65,0,5
8502,1,0,1,0,40,0,145,2,1,3,1,2,1,1,10000,0,22000,1,1,1,53,57.5,0,3
8503,1,1,11,80000,60,0,170,4,5,4,3,5,4,3,NA,NA,NA,3.5,0,0,30,55,0,4
8504,0,1,10,20000,69,0,178,4,4,2,1,3,5,1,NA,NA,NA,3,1,0,56,58.5,1,4
8505,1,1,4,20000,100,0,160,3,5,2,1,3,3,3,NA,NA,NA,3,1,0,31,60,0,4
8506,0,1,1,1000,225,0,170,4,2,4,1,3,1,1,5000,0,0,1,1,0,50,80,0,4
8507,0,1,3,35000,104,0,170,4,4,4,2,3,4,1,7200,15000,300,2.5,1,0,48,58.5,0,5
8508,0,1,4,50000,300,0,172,5,4,3,3,4,4,1,NA,NA,NA,2.5,1,0,34,75,0,4
8510,0,1,3,10000,75,0,172,2,1,2,1,5,1,1,NA,NA,NA,1,1,0,62,68.5,0,4
8511,1,1,1,10000,90,0,160,2,1,4,1,1,1,1,NA,NA,NA,1,1,0,64,65,0,4
8512,0,1,9,10000,85,1,171,3,5,2,1,3,12,6,10000,0,5000,9,0,0,53,75,0,3
8513,0,1,4,30000,110,1,178,4,2,4,1,1,3,3,NA,NA,NA,3,1,0,66,84,0,4
8514,0,1,3,80000,150,1,178,4,3,4,1,3,1,1,NA,NA,NA,1,1,0,43,60,0,4
8515,0,1,1,10000,130,1,160,3,1,4,1,1,1,1,NA,NA,NA,1,1,0,59,65,0,4
8516,1,1,3,960,150,0,160,1,1,3,3,1,1,1,NA,NA,NA,1,1,0,64,55,0,3
8517,1,1,4,0,90,1,150,5,4,4,1,2,1,1,NA,NA,NA,1,1,0,42,42.5,0,4
8518,0,1,3,10000,120,0,170,4,1,2,1,2,3,1,5000,0,3000,2,1,0,60,70,0,4
8519,1,1,6,24000,85,0,160,3,3,4,1,3,3,1,NA,NA,NA,2,0,0,56,75,0,4
8520,1,1,1,0,90,1,160,4,1,4,4,2,4,1,8000,5000,6000,2.5,1,0,51,50,0,4
8521,1,1,10,60000,100,0,160,5,5,4,1,3,3,3,NA,NA,NA,3,1,0,39,65,0,4
8524,0,1,1,7000,0,0,174,4,1,5,3,1,1,1,11000,0,85000,1,1,0,54,60,0,5
